,local_area,address,primary_address,address is primary?,n_pids,pid,units,year_built,bsns_group,bsns_name,bsns_trade_name,bsns_type,value_land,value_bldg,bldg_land_ratio,value_per_unit,VTU members,WestEnd Inbox,VTU Main Inbox,zoning,name,management,n_issues,issues_details,VTU Building,notes,prospect?
87,,1067 seymour st,1067 seymour st,TRUE,1,,110,1992,['City of Vancouver'],['City of Vancouver'],['New Continental Residence'],['Non-profit Housing'],26359000,294000,0.01115368565,,,,,,New Continental,City of Vancouver,,,,,
88,,1176 granville st,1176 granville st,TRUE,1,,110,2020,"[""Atira Women's Resource Society""]","[""Atira Women's Resource Society""]",[],['Non-profit Housing'],50396000,29740000,0.5901262005,,,,,,Howard Johnson (Luu-gat),Atira Women’s Resource Society,,,,,
89,,3564 dease lane,3564 dease lane,TRUE,1,,110,1972,,,,,0,0,,,,,,,De Cosmos Village Co-op,De Cosmos Village Co-op Housing Association,,,,,
1484,West End,825 gilford st,825 gilford st,TRUE,1,,16,1946,['Milian Kaiser & Elizabeth Forgach'],['Milian Kaiser & Elizabeth Forgach'],[],['Apartment House'],"$6,743,000.00","$37,300.00",0.005531662465,"$423,768.75",,,,RM-5B,,,,,,,
91,,3185 riverwalk ave,3185 riverwalk ave,TRUE,1,,109,2021,['SUCCESS Housing Society'],['SUCCESS Affordable Housing Society'],[],['Non-profit Housing'],4694000,12678000,2.700894759,,,,,,Riverwalk,S.U.C.C.E.S.S.,,,,,
1879,West End,1220 comox st,1220 comox st,TRUE,1,,11,1951,['Mario Franco Piattelli & Concettina Piattelli'],['Mario Franco Piattelli & Concettina Piattelli'],['Katherine Manor'],['Apartment House'],"$5,057,000.00","$28,800.00",0.005695076132,"$462,345.45",,,,RM-5B,,,,,,,
1801,West End,1955 nelson st,1955 nelson st,TRUE,1,,11,1940,['1294668 BC Ltd'],['1294668 BC Ltd'],['Cap J Properties Ltd'],['Apartment House'],"$5,057,000.00","$29,600.00",0.005853272691,"$462,418.18",,,,RM-5B,,,1,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1955&street=NELSON%20STREET,,,yes
2011,West End,1235 burnaby st,1235 burnaby st,TRUE,1,,10,1936,['1016210 BC Ltd'],['1016210 BC Ltd'],['Aarti Investments Ltd'],['Apartment House'],"$5,057,000.00","$32,900.00",0.006505833498,"$508,990.00",1,,,RM-5A,,,,,,,yes
31,West End,1450 w georgia st,1450 w georgia st,TRUE,1,,162,1955,['1450 West Georgia Investments Ltd'],['1450 West Georgia Investments Ltd'],[],['Apartment House'],"$87,206,000.00","$577,600.00",0.006623397473,"$541,874.07",,,,DD,,,2,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1450&street=W%20GEORGIA%20STREET,,,
450,West End,1999 nelson st,1999 nelson st,TRUE,1,,48,1951,,,,,"$42,870,000.00","$286,000.00",0.006671331934,"$899,083.33",,,,RM-5B,,,,,,,
97,,525 abbott st,525 abbott st,TRUE,1,,108,2011,['Provincial Rental Housing Corporation'],['Provincial Rental Housing Corporation'],[],['Non-profit Housing'],1,1,1,,,,,,Sorella,Atira Women’s Resource Society,2,http://app.vancouver.ca/RPS_Net/Default.aspx?num=525&street=ABBOTT%20STREET,,,
1848,West End,1036 cardero st,1036 cardero st,TRUE,1,,11,1905,,,,,"$1,277,000.00","$10,000.00",0.007830853563,"$117,000.00",,,,RM-5,,,,,,,
99,,344 e hastings st,344 e hastings st,TRUE,1,,107,2009,['BC Housing Corporation'],['BC Housing Corporation'],['Hazelwood Hotel'],['Non-profit Housing'],1,1,1,,,,,,Hazelwood Hotel,MPA Society,22,http://app.vancouver.ca/RPS_Net/Default.aspx?num=344&street=E%20HASTINGS%20STREET,,,
515,West End,998 thurlow st,998 thurlow st,TRUE,1,,44,1910,,,,,"$11,650,000.00","$109,000.00",0.009356223176,"$267,250.00",,,,RM-5B,,,,,,,
101,Mount Pleasant,611 e 7th ave,611 e 7th ave,TRUE,1,,107,1912,,,,,47040000,16044000,0.3410714286,,,,,RM-4,,,1,http://app.vancouver.ca/RPS_Net/Default.aspx?num=611&street=E%207TH%20AVENUE,,,
3748,West End,1246 robson st,1246 robson st,TRUE,1,,3,1947,['1244 Robson Holdings Ltd'],['1244 Robson Holdings Ltd'],[],['Apartment House'],"$5,236,000.00","$50,600.00",0.009663865546,"$1,762,200.00",,,,DD,,,,,,,
103,Downtown,1138 granville st,1142 granville st,FALSE,1,27581527,106,2012,,,,,0,0,,,,,,CD-1 (491),,,,,,,
104,West Point Grey,3755 w 6th ave,3755 w 6th ave,TRUE,1,,106,1968,['1038834 BC Ltd'],['1038834 BC Ltd'],['Highbury'],['Apartment House'],35725000,8314000,0.2327221833,,,,,RM-4,,,,,,,
105,,65 w cordova st,65 w cordova st,TRUE,1,,106,2002,,,,,0,0,,,,,,,Lore Krill Co-op,Lore Krill Co-operative Housing Association,,,,,
106,,1338 seymour st,1338 seymour st,TRUE,1,,105,2011,['Granville Mennonite Housing Society'],['Granville Mennonite Housing Society'],[],['Non-profit Housing'],1,1,1,,,,,,Karis Place,More Than a Roof Housing Society,,,,,
107,Mount Pleasant,1715 cook st,1715 cook st,TRUE,1,,104,2021,,,,,11358000,45408000,3.997886952,,,,,CD-1 (720),,,8,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1715&street=COOK%20STREET,,,
108,Grandview-Woodland,1516 powell st,1516 powell st,TRUE,1,,104,1905,"[""Atira Women's Resource Society""]","[""Atira Women's Resource Society""]",['The Flint'],['Non-profit Housing'],3381000,2965000,0.8769594794,,,,,M-2,,,16,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1516&street=POWELL%20STREET,,,
109,,288 e hastings st,288 e hastings st,TRUE,1,,104,2018,,,,,16652002,64132002,3.85130881,,,,,,The Anjok,BC Housing,,,,,
110,Renfrew-Collingwood,3595 kingsway,3595 kingsway,TRUE,1,,104,2020,,,,,0,0,,,,,,CD-1(60),Odd Fellows Manor,Odd Fellows Low Rental Housing Society,,,,,
